Symbol,Token,,,,NIFTY 50,,,,,
011NSETEST,14747,,,,ONGC,2475,,,,25
GTECJAINX,1135,,,,RELIANCE,2885,,,,1660
GSTL,9764,,,,SBIN,3045,,,,5900
GSS,15347,,,,BRITANNIA,547,,,,16669
GSPL,13197,,,,CIPLA,694,,,,
GSLSU,14599,,,,HINDUNILVR,1394,,,,
GSFC,1247,,,,BAJAJ-AUTO,16669,,,,
GTL,4821,,,,NTPC,11630,,,,
GRWRHITECH,7982,,,,APOLLOHOSP,157,,,,
GRPLTD,6543,,,,DIVISLAB,10940,,,,
GROBTEA,17770,,,,LT,11483,,,,
GRMOVER,10871,,,,POWERGRID,14977,,,,
GRINFRA,5054,,,,BPCL,526,,,,
GRINDWELL,13560,,,,NESTLEIND,17963,,,,
GRETEX,18742,,,,SBILIFE,21808,,,,
GRSE,5475,,,,ITC,1660,,,,
GREENPOWER,20110,,,,HINDALCO,1363,,,,
GTLINFRA,13745,,,,WIPRO,3787,,,,
GUFICBIO,11606,,,,SHRIRAMFIN,4306,,,,
HARIOMPIPE,8968,,,,JSWSTEEL,11723,,,,
HARDWYN,8962,,,,EICHERMOT,910,,,,
HAPPYFORGE,20854,,,,SUNPHARMA,3351,,,,
HAPPSTMNDS,48,,,,GRASIM,1232,,,,
HAL,2303,,,,KOTAKBANK,1922,,,,
GVPTECH,10865,,,,HDFCLIFE,467,,,,
GTPL,21195,,,,BHARTIARTL,10604,,,,
GVKPIL,13226,,,,DRREDDY,881,,,,
GULFPETRO,11581,,,,COALINDIA,20374,,,,
GULFOILLUB,4391,,,,BAJFINANCE,317,,,,
GUJRAFFIA,4548,,,,AXISBANK,5900,,,,
GUJGASLTD,10599,,,,ASIANPAINT,236,,,,
GUJAPOLLO,14677,,,,MARUTI,10999,,,,
GUJALKALI,1267,,,,ADANIENT,25,,,,
GULPOLY,6286,,,,TATACONSUM,3432,,,,
HARRMALAYA,1313,,,,HEROMOTOCO,1348,,,,
GREENPLY,3987,,,,ICICIBANK,4963,,,,
GREENLAM,6848,,,,M&M,2031,,,,
GOLDSTAR,1,,,,TECHM,13538,,,,
GOLDKART,13701,,,,TCS,11536,,,,
GOLDIAM,11971,,,,ADANIPORTS,15083,,,,
GOKULAGRO,14480,,,,HCLTECH,7229,,,,
GOKUL,16709,,,,BAJAJFINSV,16675,,,,
GOKEX,11778,,,,TATAMOTORS,3456,,,,
GOLDTECH,9874,,,,INFY,1594,,,,
GOENKA,5010,,,,ULTRACEMCO,11532,,,,
GODREJIND,10925,,,,INDUSINDBK,5258,,,,
GODREJCP,10099,,,,TATASTEEL,3499,,,,
GODREJAGRO,144,,,,LTIM,17818,,,,
GODHA,1607,,,,TITAN,3506,,,,
GODFRYPHLP,1181,,,,HDFCBANK,1333,,,,
GOCOLORS,6964,,,,,,,,,
GODREJPROP,17875,,,,,,,,,
GREENPANEL,13810,,,,,,,,,
GOODLUCK,6125,,,,,,,,,
GOYALALUM,11789,,,,,,,,,
GREENCHEF,17092,,,,,,,,,
GREAVESCOT,1235,,,,,,,,,
GRCL,14052,,,,,,,,,
GRAVITA,20534,,,,,,,,,
GRASIMPP,22630,,,,,,,,,
GRASIM,1232,,,,,,,,,
GOPAL,23066,,,,,,,,,
GRAPHITE,592,,,,,,,,,
GRANULES,11872,,,,,,,,,
GPTINFRA,17689,,,,,,,,,
GPTHEALTH,22846,,,,,,,,,
GPPL,19731,,,,,,,,,
